source_doc,senator_flag,senator_name,raw office,funding_year,fiscal_year,congress_number,reference_page,document_number,date_posted,start_date,end_date,description,salary_flag,amount,payee
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,327,V21400003487,2/10/14,11/23/13,12/27/13,TECHNICAL SUPPORT,0,"$ 14,909.13",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,336,V21400003342,2/10/14,10/1/13,12/31/13,TECHNICAL SUPPORT,0,"$ 86,634.53",SCIENCE APPLICATIONS INTERNATIONAL CORP
113_sdoc22,0,,SGT @ ARMS - STAFF OFFICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,345,V21400003335,2/10/14,12/2/13,12/18/13,TECHNICAL SUPPORT,0,"$ 14,308.25",HEWLETT PACKARD COMPANY
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400003336,2/10/14,12/2/13,12/30/13,TECHNICAL SUPPORT,0,"$ 83,116.88",HEWLETT PACKARD COMPANY
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400003508,2/10/14,10/1/13,10/31/13,TECHNICAL SUPPORT,0,"$ 326,519.92",MACAULAY BROWN INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400003509,2/10/14,11/1/13,11/30/13,TECHNICAL SUPPORT,0,"$ 326,519.92",MACAULAY BROWN INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400003510,2/10/14,12/1/13,12/31/13,TECHNICAL SUPPORT,0,"$ 326,519.92",MACAULAY BROWN INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400003512,2/10/14,10/1/13,10/31/13,TECHNICAL SUPPORT,0,"$ 22,090.32",MACAULAY BROWN INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400003514,2/10/14,12/1/13,12/31/13,TECHNICAL SUPPORT,0,"$ 21,038.40",MACAULAY BROWN INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1014 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1014,,,279,V21400003615,2/12/14,1/1/14,1/31/14,TECHNICAL SUPPORT,0,$ 300.00,BANNISTER LAKE SOFTWARE INC
113_sdoc22,0,,SGT @ ARMS - STAFF OFFICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,325,V21400003630,2/12/14,1/1/14,1/31/14,TECHNICAL SUPPORT,0,"$ 3,788.56",LIFECARE INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400003641,2/12/14,12/28/13,1/24/14,TECHNICAL SUPPORT,0,"$ 116,717.58",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400003642,2/12/14,12/28/13,1/24/14,TECHNICAL SUPPORT,0,"$ 123,877.00",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - STAFF OFFICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,345,V21400003616,2/12/14,12/2/13,12/30/13,TECHNICAL SUPPORT,0,"$ 34,939.10",MICROSOFT ENTERPRISE SERVICES
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400003614,2/12/14,11/1/13,11/30/13,TECHNICAL SUPPORT,0,"$ 18,934.56",MACAULAY BROWN INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,327,V21400003648,2/18/14,10/26/13,11/22/13,TECHNICAL SUPPORT,0,"$ 18,076.72",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,336,V21400003705,2/18/14,1/2/14,1/31/14,TECHNICAL SUPPORT,0,"$ 9,246.00",ALTERION INC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,336,V21400003718,2/18/14,1/2/14,1/31/14,TECHNICAL SUPPORT,0,"$ 8,576.75",ALTERION INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400003643,2/18/14,12/28/13,1/24/14,TECHNICAL SUPPORT,0,"$ 435,120.79",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400003645,2/18/14,12/28/13,1/24/14,TECHNICAL SUPPORT,0,"$ 59,322.00",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400003646,2/18/14,12/28/13,1/24/14,TECHNICAL SUPPORT,0,"$ 24,563.08",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1014 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1014,,,282,V21400003817,2/21/14,1/1/14,1/31/14,TECHNICAL SUPPORT,0,"$ 39,550.00",FORCE 3 INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400003801,2/21/14,12/28/13,1/24/14,TECHNICAL SUPPORT,0,"$ 18,867.03",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,350,V21400003783,2/26/14,11/23/13,12/27/13,TECHNICAL SUPPORT,0,"$ 2,831.56",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,337,V21400004007,2/28/14,1/1/14,1/31/14,TECHNICAL SUPPORT,0,$ 96.50,SRA INTERNATIONAL INC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,336,V21400004005,3/4/14,1/1/13,1/31/14,TECHNICAL SUPPORT,0,"$ 31,965.83",SCIENCE APPLICATIONS INTERNATIONAL CORP
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,337,V21400004006,3/4/14,1/1/14,1/31/14,TECHNICAL SUPPORT,0,"$ 31,836.83",SRA INTERNATIONAL INC
